test_filename train_filename dist1 dist2 dist3 dist4 dist5
WL009.jpg image044.jpg 9770.034 9770.034 0.937 0.045 0.785
WL009.jpg image048.jpg 15633.439 15633.439 0.820 0.082 0.696
WL009.jpg image049.jpg 7574.060 7574.060 0.969 0.025 0.832
WL009.jpg image050.jpg 5778.693 5778.693 0.978 0.014 0.873
WL009.jpg image051.jpg 10340.826 10340.826 0.939 0.032 0.796
WL009.jpg image052.jpg 10201.499 10201.499 0.928 0.042 0.796
WL009.jpg image054.jpg 5381.397 5381.397 0.981 0.017 0.876
WL009.jpg image055.jpg 5990.890 5990.890 0.976 0.019 0.883
WL009.jpg image056.jpg 6437.797 6437.797 0.973 0.019 0.863
WL009.jpg image057.jpg 7447.545 7447.545 0.963 0.028 0.835
WL009.jpg image058.jpg 8068.981 8068.981 0.957 0.025 0.844
WL009.jpg image059.jpg 5314.320 5314.320 0.981 0.024 0.871
WL009.jpg image060.jpg 7797.495 7797.495 0.958 0.036 0.832
WL009.jpg image061.jpg 7797.641 7797.641 0.960 0.035 0.822
WL009.jpg image062.jpg 8523.450 8523.450 0.952 0.034 0.808
WL009.jpg image063.jpg 9593.137 9593.137 0.939 0.043 0.785
WL009.jpg image064.jpg 5782.750 5782.750 0.981 0.019 0.875
WL009.jpg image065.jpg 6973.183 6973.183 0.971 0.024 0.847
WL009.jpg image066.jpg 8495.334 8495.334 0.950 0.032 0.823
WL009.jpg image068.jpg 11581.549 11581.549 0.910 0.042 0.767
WL009.jpg image071.jpg 6616.406 6616.406 0.970 0.028 0.847
WL009.jpg image072.jpg 4999.713 4999.713 0.983 0.018 0.897
WL009.jpg image075.jpg 5540.258 5540.258 0.979 0.022 0.870
WL009.jpg image076.jpg 4428.469 4428.469 0.987 0.017 0.890
WL009.jpg image077.jpg 8322.613 8322.613 0.962 0.029 0.811
WL009.jpg image079.jpg 23554.182 23554.182 0.673 0.138 0.587
WL009.jpg image080.jpg 5749.555 5749.555 0.980 0.019 0.862
WL009.jpg image082.jpg 14134.647 14134.647 0.867 0.064 0.714
WL009.jpg image083.jpg 6676.339 6676.339 0.970 0.028 0.839
WL009.jpg image084.jpg 7609.514 7609.514 0.965 0.025 0.835
WL009.jpg image085.jpg 4980.498 4980.498 0.983 0.018 0.879
WL009.jpg image086.jpg 5420.797 5420.797 0.982 0.019 0.865
WL009.jpg image087.jpg 13207.683 13207.683 0.879 0.057 0.739
WL009.jpg image090.jpg 12569.236 12569.236 0.889 0.050 0.763
WL009.jpg image091.jpg 7966.970 7966.970 0.961 0.031 0.823
WL009.jpg image092.jpg 11584.199 11584.199 0.910 0.047 0.769
WL009.jpg image093.jpg 14023.061 14023.061 0.862 0.069 0.721
WL009.jpg image094.jpg 6347.093 6347.093 0.973 0.030 0.845
WL009.jpg image099.jpg 15835.569 15835.569 0.835 0.068 0.701
WL009.jpg image101.jpg 8936.801 8936.801 0.953 0.033 0.807
WL009.jpg image103.jpg 4713.240 4713.240 0.985 0.017 0.885
WL009.jpg image106.jpg 10343.248 10343.248 0.925 0.054 0.771
WL009.jpg image109.jpg 9709.249 9709.249 0.943 0.054 0.779
WL009.jpg image110.jpg 8050.197 8050.197 0.970 0.036 0.817
WL009.jpg image111.jpg 4929.737 4929.737 0.984 0.022 0.872
WL009.jpg image112.jpg 8863.145 8863.145 0.946 0.048 0.794
WL009.jpg image115.jpg 4885.011 4885.011 0.984 0.018 0.900
WL009.jpg image117.jpg 19436.877 19436.877 0.750 0.115 0.623
WL009.jpg image121.jpg 7276.906 7276.906 0.966 0.027 0.834
WL009.jpg image125.jpg 13471.991 13471.991 0.870 0.057 0.743
WL009.jpg image126.jpg 5201.157 5201.157 0.982 0.024 0.862
WL009.jpg image127.jpg 6608.264 6608.264 0.972 0.022 0.856
WL009.jpg image128.jpg 5890.414 5890.414 0.977 0.014 0.878
WL009.jpg image129.jpg 6707.050 6707.050 0.975 0.021 0.855
WL009.jpg image131.jpg 9022.392 9022.392 0.955 0.026 0.829
WL009.jpg image132.jpg 6344.169 6344.169 0.973 0.016 0.872
WL009.jpg image134.jpg 5195.305 5195.305 0.982 0.023 0.872
WL009.jpg image135.jpg 6027.939 6027.939 0.975 0.017 0.864
WL009.jpg image136.jpg 7056.054 7056.054 0.968 0.032 0.837
WL009.jpg image137.jpg 8466.306 8466.306 0.953 0.038 0.820
WL009.jpg image138.jpg 8514.755 8514.755 0.958 0.031 0.816
WL009.jpg image139.jpg 5320.294 5320.294 0.981 0.018 0.870
WL009.jpg image140.jpg 5833.816 5833.816 0.978 0.018 0.877
